ST	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
3	0	0	0	0	0	10	2	4	0	2	4	5	0	0	0	4	5	2
101	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
666	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	2	0
206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
363	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
54	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0
9	0	0	0	0	0	4	2	2	3	1	9	2	0	0	5	5	1	0
87	3	4	2	1	2	1	4	3	4	2	1	7	6	3	3	6	3	4
155	0	0	0	0	0	0	1	0	2	2	1	0	2	0	1	5	0	0
26	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0
736	0	0	0	0	0	2	1	0	1	1	0	0	1	0	0	0	0	0
7	0	0	0	0	0	1	1	2	1	1	4	20	0	0	2	2	0	1
1398	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
1	0	0	0	1	0	12	15	28	8	17	23	27	13	12	23	34	21	10
219	0	0	0	0	0	0	0	2	0	2	1	1	2	0	1	1	3	0
59	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
532	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
426	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
378	0	0	0	0	0	0	0	2	0	0	0	0	1	3	3	0	1	1
18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
8	1	0	0	0	0	0	3	2	1	1	6	4	0	1	0	1	1	1
504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
388	0	0	0	0	0	6	29	7	0	1	3	5	1	0	3	2	0	3
29	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	1	0	0
4	0	0	0	0	0	2	0	1	0	3	3	1	1	0	2	0	0	0
2	0	0	0	0	0	7	6	9	0	9	7	6	3	1	5	5	2	0
224	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
330	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
16	0	0	0	0	0	0	0	0	0	0	0	1	0	1	4	0	2	1
328	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
474	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
382	0	0	0	0	0	0	1	0	2	0	1	2	1	1	2	2	1	1
91	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
200	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
6	0	0	0	1	0	0	1	3	3	2	1	9	1	5	2	3	0	3
530	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
121	0	0	0	0	0	7	4	9	3	15	16	7	4	2	0	1	0	1
20	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
217	0	0	0	0	0	1	2	1	1	3	2	2	1	2	1	1	6	5
5	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0
204	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
14	0	0	0	0	0	1	0	4	0	0	0	1	2	0	0	0	2	0
na	1	0	0	0	0	0	0	1	1	2	7	13	1	0	1	2	2	2
403	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0
77	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1
392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
