ST	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
219	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023255813953488372	0.0	0.028985507246376812	0.01020408163265306	0.00847457627118644	0.047619047619047616	0.0	0.01639344262295082	0.01282051282051282	0.05263157894736842	0.0
3	0.0	0.0	0.0	0.0	0.0	0.1724137931034483	0.025974025974025976	0.046511627906976744	0.0	0.028985507246376812	0.04081632653061224	0.0423728813559322	0.0	0.0	0.0	0.05128205128205128	0.08771929824561403	0.05405405405405406
451	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02702702702702703
382	0.0	0.0	0.0	0.0	0.0	0.0	0.012987012987012988	0.0	0.0625	0.0	0.01020408163265306	0.01694915254237288	0.023809523809523808	0.027777777777777776	0.03278688524590164	0.02564102564102564	0.017543859649122806	0.02702702702702703
206	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01282051282051282	0.0	0.0
87	0.6	1.0	1.0	0.3333333333333333	1.0	0.017241379310344827	0.05194805194805195	0.03488372093023256	0.125	0.028985507246376812	0.01020408163265306	0.059322033898305086	0.14285714285714285	0.08333333333333333	0.04918032786885246	0.07692307692307693	0.05263157894736842	0.10810810810810811
1398	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011627906976744186	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
213	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01639344262295082	0.0	0.0	0.0
330	0.0	0.0	0.0	0.0	0.0	0.0	0.012987012987012988	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	0.2	0.0	0.0	0.0	0.0	0.0	0.03896103896103896	0.023255813953488372	0.03125	0.014492753623188406	0.061224489795918366	0.03389830508474576	0.0	0.027777777777777776	0.0	0.01282051282051282	0.017543859649122806	0.02702702702702703
6	0.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.012987012987012988	0.03488372093023256	0.09375	0.028985507246376812	0.01020408163265306	0.07627118644067797	0.023809523809523808	0.1388888888888889	0.03278688524590164	0.038461538461538464	0.0	0.08108108108108109
7	0.0	0.0	0.0	0.0	0.0	0.017241379310344827	0.012987012987012988	0.023255813953488372	0.03125	0.014492753623188406	0.04081632653061224	0.1694915254237288	0.0	0.0	0.03278688524590164	0.02564102564102564	0.0	0.02702702702702703
9	0.0	0.0	0.0	0.0	0.0	0.06896551724137931	0.025974025974025976	0.023255813953488372	0.09375	0.014492753623188406	0.09183673469387756	0.01694915254237288	0.0	0.0	0.08196721311475409	0.0641025641025641	0.017543859649122806	0.0
na	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.011627906976744186	0.03125	0.028985507246376812	0.07142857142857142	0.11016949152542373	0.023809523809523808	0.0	0.01639344262295082	0.02564102564102564	0.03508771929824561	0.05405405405405406
37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03508771929824561	0.0
692	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01282051282051282	0.0	0.0
4	0.0	0.0	0.0	0.0	0.0	0.034482758620689655	0.0	0.011627906976744186	0.0	0.043478260869565216	0.030612244897959183	0.00847457627118644	0.023809523809523808	0.0	0.03278688524590164	0.0	0.0	0.0
504	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01639344262295082	0.0	0.0	0.0
20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
426	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023255813953488372	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
388	0.0	0.0	0.0	0.0	0.0	0.10344827586206896	0.37662337662337664	0.08139534883720931	0.0	0.014492753623188406	0.030612244897959183	0.0423728813559322	0.023809523809523808	0.0	0.04918032786885246	0.02564102564102564	0.0	0.08108108108108109
200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01020408163265306	0.00847457627118644	0.0	0.0	0.0	0.0	0.0	0.0
392	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017543859649122806	0.0
666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011627906976744186	0.0	0.014492753623188406	0.01020408163265306	0.0	0.0	0.0	0.0	0.0	0.03508771929824561	0.0
876	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01282051282051282	0.0	0.0
77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01020408163265306	0.0	0.0	0.0	0.0	0.0	0.017543859649122806	0.02702702702702703
736	0.0	0.0	0.0	0.0	0.0	0.034482758620689655	0.012987012987012988	0.0	0.03125	0.014492753623188406	0.0	0.0	0.023809523809523808	0.0	0.0	0.0	0.0	0.0
54	0.0	0.0	0.0	0.0	0.0	0.017241379310344827	0.0	0.0	0.0	0.0	0.02040816326530612	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00847457627118644	0.0	0.027777777777777776	0.06557377049180328	0.0	0.03508771929824561	0.02702702702702703
5	0.0	0.0	0.0	0.0	0.0	0.0	0.012987012987012988	0.011627906976744186	0.0	0.0	0.0	0.00847457627118644	0.0	0.0	0.01639344262295082	0.0	0.0	0.0
532	0.0	0.0	0.0	0.0	0.0	0.017241379310344827	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
217	0.0	0.0	0.0	0.0	0.0	0.017241379310344827	0.025974025974025976	0.011627906976744186	0.03125	0.043478260869565216	0.02040816326530612	0.01694915254237288	0.023809523809523808	0.05555555555555555	0.01639344262295082	0.01282051282051282	0.10526315789473684	0.13513513513513514
224	0.0	0.0	0.0	0.0	0.0	0.0	0.012987012987012988	0.0	0.0	0.014492753623188406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00847457627118644	0.0	0.1111111111111111	0.0	0.0	0.0	0.0
121	0.0	0.0	0.0	0.0	0.0	0.1206896551724138	0.05194805194805195	0.10465116279069768	0.09375	0.21739130434782608	0.16326530612244897	0.059322033898305086	0.09523809523809523	0.05555555555555555	0.0	0.01282051282051282	0.0	0.02702702702702703
59	0.0	0.0	0.0	0.0	0.0	0.017241379310344827	0.0	0.0	0.0	0.0	0.0	0.00847457627118644	0.0	0.0	0.0	0.0	0.0	0.0
14	0.0	0.0	0.0	0.0	0.0	0.017241379310344827	0.0	0.046511627906976744	0.0	0.0	0.0	0.00847457627118644	0.047619047619047616	0.0	0.0	0.0	0.03508771929824561	0.0
18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017543859649122806	0.0
2	0.0	0.0	0.0	0.0	0.0	0.1206896551724138	0.07792207792207792	0.10465116279069768	0.0	0.13043478260869565	0.07142857142857142	0.05084745762711865	0.07142857142857142	0.027777777777777776	0.08196721311475409	0.0641025641025641	0.03508771929824561	0.0
29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.030612244897959183	0.00847457627118644	0.0	0.0	0.0	0.01282051282051282	0.0	0.0
328	0.0	0.0	0.0	0.0	0.0	0.0	0.012987012987012988	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
530	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01020408163265306	0.0	0.0	0.0	0.0	0.0	0.0	0.0
403	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011627906976744186	0.0	0.0	0.0	0.0	0.023809523809523808	0.027777777777777776	0.0	0.0	0.0	0.0
155	0.0	0.0	0.0	0.0	0.0	0.0	0.012987012987012988	0.0	0.0625	0.028985507246376812	0.01020408163265306	0.0	0.047619047619047616	0.0	0.01639344262295082	0.0641025641025641	0.0	0.0
1	0.0	0.0	0.0	0.3333333333333333	0.0	0.20689655172413793	0.19480519480519481	0.32558139534883723	0.25	0.2463768115942029	0.23469387755102042	0.2288135593220339	0.30952380952380953	0.3333333333333333	0.3770491803278688	0.4358974358974359	0.3684210526315789	0.2702702702702703
204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014492753623188406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
474	0.0	0.0	0.0	0.0	0.0	0.0	0.012987012987012988	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
101	0.0	0.0	0.0	0.0	0.0	0.017241379310344827	0.0	0.0	0.0	0.014492753623188406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
363	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023809523809523808	0.0	0.0	0.0	0.0	0.0
91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014492753623188406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
378	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023255813953488372	0.0	0.0	0.0	0.0	0.023809523809523808	0.08333333333333333	0.04918032786885246	0.0	0.017543859649122806	0.02702702702702703
