samples	missing	called	pct_called
sample_0001	8	1740	0.9954233409610984
sample_0002	6	1742	0.9965675057208238
sample_0003	7	1741	0.9959954233409611
sample_0004	8	1740	0.9954233409610984
sample_0005	35	1713	0.9799771167048055
sample_0006	38	1710	0.9782608695652174
sample_0007	8	1740	0.9954233409610984
sample_0008	30	1718	0.982837528604119
sample_0009	21	1727	0.9879862700228833
sample_0010	9	1739	0.9948512585812357
sample_0011	13	1735	0.9925629290617849
sample_0012	13	1735	0.9925629290617849
sample_0013	5	1743	0.9971395881006865
sample_0014	5	1743	0.9971395881006865
sample_0015	7	1741	0.9959954233409611
sample_0016	7	1741	0.9959954233409611
sample_0017	7	1741	0.9959954233409611
sample_0018	7	1741	0.9959954233409611
sample_0019	9	1739	0.9948512585812357
sample_0020	8	1740	0.9954233409610984
sample_0021	7	1741	0.9959954233409611
sample_0022	6	1742	0.9965675057208238
sample_0023	6	1742	0.9965675057208238
sample_0024	6	1742	0.9965675057208238
sample_0025	7	1741	0.9959954233409611
sample_0026	5	1743	0.9971395881006865
sample_0027	7	1741	0.9959954233409611
sample_0028	7	1741	0.9959954233409611
sample_0029	9	1739	0.9948512585812357
sample_0030	8	1740	0.9954233409610984
sample_0031	7	1741	0.9959954233409611
sample_0032	7	1741	0.9959954233409611
sample_0033	8	1740	0.9954233409610984
sample_0034	6	1742	0.9965675057208238
sample_0035	5	1743	0.9971395881006865
sample_0036	8	1740	0.9954233409610984
sample_0037	7	1741	0.9959954233409611
sample_0038	9	1739	0.9948512585812357
sample_0039	8	1740	0.9954233409610984
sample_0040	6	1742	0.9965675057208238
sample_0041	7	1741	0.9959954233409611
sample_0042	4	1744	0.9977116704805492
sample_0043	7	1741	0.9959954233409611
sample_0044	10	1738	0.994279176201373
sample_0045	8	1740	0.9954233409610984
sample_0046	3	1745	0.9982837528604119
sample_0047	13	1735	0.9925629290617849
sample_0048	4	1744	0.9977116704805492
sample_0049	8	1740	0.9954233409610984
sample_0050	9	1739	0.9948512585812357
sample_0051	9	1739	0.9948512585812357
sample_0052	7	1741	0.9959954233409611
sample_0053	14	1734	0.9919908466819222
sample_0054	8	1740	0.9954233409610984
sample_0055	8	1740	0.9954233409610984
sample_0056	9	1739	0.9948512585812357
sample_0057	10	1738	0.994279176201373
sample_0058	9	1739	0.9948512585812357
sample_0059	43	1705	0.9754004576659039
sample_0060	7	1741	0.9959954233409611
sample_0061	11	1737	0.9937070938215103
sample_0062	7	1741	0.9959954233409611
sample_0063	16	1732	0.9908466819221968
sample_0064	9	1739	0.9948512585812357
sample_0065	10	1738	0.994279176201373
sample_0066	5	1743	0.9971395881006865
sample_0067	6	1742	0.9965675057208238
sample_0068	11	1737	0.9937070938215103
sample_0069	8	1740	0.9954233409610984
sample_0070	6	1742	0.9965675057208238
sample_0071	8	1740	0.9954233409610984
sample_0072	10	1738	0.994279176201373
sample_0073	5	1743	0.9971395881006865
sample_0074	9	1739	0.9948512585812357
sample_0075	6	1742	0.9965675057208238
sample_0076	4	1744	0.9977116704805492
sample_0077	8	1740	0.9954233409610984
sample_0078	7	1741	0.9959954233409611
sample_0079	7	1741	0.9959954233409611
sample_0080	9	1739	0.9948512585812357
sample_0081	8	1740	0.9954233409610984
sample_0082	12	1736	0.9931350114416476
sample_0083	7	1741	0.9959954233409611
sample_0084	10	1738	0.994279176201373
sample_0085	5	1743	0.9971395881006865
sample_0086	9	1739	0.9948512585812357
sample_0087	8	1740	0.9954233409610984
sample_0088	3	1745	0.9982837528604119
sample_0089	7	1741	0.9959954233409611
sample_0090	10	1738	0.994279176201373
sample_0091	18	1730	0.9897025171624714
sample_0092	9	1739	0.9948512585812357
sample_0093	8	1740	0.9954233409610984
sample_0094	7	1741	0.9959954233409611
sample_0095	7	1741	0.9959954233409611
sample_0096	5	1743	0.9971395881006865
sample_0097	5	1743	0.9971395881006865
sample_0098	15	1733	0.9914187643020596
sample_0099	9	1739	0.9948512585812357
sample_0100	8	1740	0.9954233409610984
sample_0101	5	1743	0.9971395881006865
sample_0102	8	1740	0.9954233409610984
sample_0103	6	1742	0.9965675057208238
sample_0104	7	1741	0.9959954233409611
sample_0105	11	1737	0.9937070938215103
sample_0106	13	1735	0.9925629290617849
sample_0107	12	1736	0.9931350114416476
sample_0108	11	1737	0.9937070938215103
sample_0109	13	1735	0.9925629290617849
sample_0110	5	1743	0.9971395881006865
sample_0111	19	1729	0.9891304347826086
sample_0112	12	1736	0.9931350114416476
sample_0113	10	1738	0.994279176201373
sample_0114	8	1740	0.9954233409610984
sample_0115	8	1740	0.9954233409610984
sample_0116	6	1742	0.9965675057208238
sample_0117	17	1731	0.9902745995423341
sample_0118	4	1744	0.9977116704805492
sample_0119	3	1745	0.9982837528604119
sample_0120	12	1736	0.9931350114416476
sample_0121	10	1738	0.994279176201373
sample_0122	20	1728	0.988558352402746
sample_0123	5	1743	0.9971395881006865
sample_0124	8	1740	0.9954233409610984
sample_0125	6	1742	0.9965675057208238
sample_0126	16	1732	0.9908466819221968
sample_0127	7	1741	0.9959954233409611
sample_0128	9	1739	0.9948512585812357
sample_0129	4	1744	0.9977116704805492
sample_0130	14	1734	0.9919908466819222
sample_0131	5	1743	0.9971395881006865
sample_0132	8	1740	0.9954233409610984
sample_0133	21	1727	0.9879862700228833
sample_0134	46	1702	0.9736842105263158
sample_0135	9	1739	0.9948512585812357
sample_0136	11	1737	0.9937070938215103
sample_0137	12	1736	0.9931350114416476
sample_0138	9	1739	0.9948512585812357
sample_0139	6	1742	0.9965675057208238
sample_0140	4	1744	0.9977116704805492
sample_0141	10	1738	0.994279176201373
sample_0142	5	1743	0.9971395881006865
sample_0143	11	1737	0.9937070938215103
