sample	country	region	source	date	iso_year	iso_week_nr	iso_week	ST	note	nomenclature_code_2023-03-28	MST-4x1.0	MST-7x1.0	MST-15x1.0	pct_called	QUAL_called
sample_0001	A	A1	clinical	2021-11-21	2021	46	2021W46	na	not_real_data_test_only	C35-C92-C37-A	cluster_37	cluster_92	cluster_105	0.9954233409610984	PASS
sample_0002	B	B1	clinical	2021-10-11	2021	41	2021W41	na	not_real_data_test_only	C3-S314-S394-B	singleton_394	singleton_314	singleton_201	0.9965675057208238	PASS
sample_0003	C	B1	clinical	2021-10-24	2021	42	2021W42	388	not_real_data_test_only	C16-S245-S325-C	singleton_325	singleton_245	singleton_131	0.9959954233409613	PASS
sample_0004	A	A2	clinical	2021-10-18	2021	42	2021W42	77	not_real_data_test_only	C15-S170-S250-A	singleton_250	singleton_170	singleton_57	0.9954233409610984	PASS
sample_0005	B	B2	clinical	2021-03-10	2021	10	2021W10	3	not_real_data_test_only	C32-S302-S382-B	singleton_382	singleton_302	singleton_189	0.9799771167048056	PASS
sample_0006	C	B2	clinical	2021-09-23	2021	38	2021W38	217	not_real_data_test_only	C28-S321-S401-C	singleton_401	singleton_321	singleton_208	0.9782608695652174	PASS
sample_0007	A	A3	clinical	2021-09-18	2021	37	2021W37	388	not_real_data_test_only	C16-S114-S194-A	singleton_194	singleton_114	singleton_6	0.9954233409610984	PASS
sample_0008	B	B3	clinical	2021-12-09	2021	49	2021W49	217	not_real_data_test_only	C28-S256-S336-B	singleton_336	singleton_256	singleton_143	0.982837528604119	PASS
sample_0009	C	B3	clinical	2021-09-09	2021	36	2021W36	121	not_real_data_test_only	C31-S224-S304-C	singleton_304	singleton_224	singleton_110	0.9879862700228832	PASS
sample_0010	A	A4	clinical	2021-02-09	2021	6	2021W06	1	not_real_data_test_only	C35-C81-S445-A	singleton_445	cluster_81	cluster_84	0.9948512585812356	PASS
sample_0011	B	B4	clinical	2021-08-29	2021	34	2021W34	1	not_real_data_test_only	C35-S119-S199-B	singleton_199	singleton_119	cluster_105	0.9925629290617848	PASS
sample_0012	C	B4	clinical	2021-08-29	2021	34	2021W34	1	not_real_data_test_only	C35-S33-S109-C	singleton_109	singleton_33	cluster_102	0.9925629290617848	PASS
sample_0013	A	A5	clinical	2021-02-08	2021	6	2021W06	6	not_real_data_test_only	C24-C102-S53-A	singleton_53	cluster_102	cluster_67	0.9971395881006864	PASS
sample_0014	B	B5	clinical	2021-07-29	2021	30	2021W30	8	not_real_data_test_only	C21-S87-S167-B	singleton_167	singleton_87	cluster_103	0.9971395881006864	PASS
sample_0015	C	B5	clinical	2021-07-28	2021	30	2021W30	451	not_real_data_test_only	S12-S359-S439-C	singleton_439	singleton_359	singleton_246	0.9959954233409613	PASS
sample_0016	A	A6	clinical	2021-07-20	2021	29	2021W29	217	not_real_data_test_only	C28-S131-S211-A	singleton_211	singleton_131	singleton_18	0.9959954233409613	PASS
sample_0017	B	B6	clinical	2021-07-14	2021	28	2021W28	87	not_real_data_test_only	C14-C106-S30-B	singleton_30	cluster_106	cluster_100	0.9959954233409613	PASS
sample_0018	C	B6	clinical	2021-07-13	2021	28	2021W28	87	not_real_data_test_only	C14-C28-C33-C	cluster_33	cluster_28	cluster_100	0.9959954233409613	PASS
sample_0019	A	A7	clinical	2021-04-07	2021	14	2021W14	1	not_real_data_test_only	C35-S248-S328-A	singleton_328	singleton_248	singleton_134	0.9948512585812356	PASS
sample_0020	B	B7	clinical	2021-06-29	2021	26	2021W26	87	not_real_data_test_only	C14-C28-C33-B	cluster_33	cluster_28	cluster_100	0.9954233409610984	PASS
sample_0021	C	B7	clinical	2021-06-26	2021	25	2021W25	1	not_real_data_test_only	C35-S77-S155-C	singleton_155	singleton_77	cluster_105	0.9959954233409613	PASS
sample_0022	A	A8	clinical	2021-06-17	2021	24	2021W24	382	not_real_data_test_only	C13-S164-S244-A	singleton_244	singleton_164	singleton_51	0.9965675057208238	PASS
sample_0023	B		clinical	2021-10-06	2021	40	2021W40	388	not_real_data_test_only	C16-S177-S257-B	singleton_257	singleton_177	singleton_63	0.9965675057208238	PASS
sample_0024	C		clinical	2021-03-06	2021	9	2021W09	378	not_real_data_test_only	C12-S269-S349-C	singleton_349	singleton_269	singleton_156	0.9965675057208238	PASS
sample_0025	A	A9	clinical	2021-02-06	2021	5	2021W05	3	not_real_data_test_only	C32-C104-S56-A	singleton_56	cluster_104	cluster_69	0.9959954233409613	PASS
sample_0026	B	B1	clinical	2021-05-22	2021	20	2021W20	6	not_real_data_test_only	C24-C109-S73-B	singleton_73	cluster_109	cluster_107	0.9971395881006864	PASS
sample_0027	C	B1	clinical	2021-10-05	2021	40	2021W40	1	not_real_data_test_only	C35-S318-S398-C	singleton_398	singleton_318	singleton_205	0.9959954233409613	PASS
sample_0028	A		clinical	2021-05-05	2021	18	2021W18	7	not_real_data_test_only	C29-C77-C95-A	cluster_95	cluster_77	cluster_57	0.9959954233409613	PASS
sample_0029	B	B2	clinical	2021-04-26	2021	17	2021W17	16	not_real_data_test_only	C19-C26.1-S62-B	singleton_62	cluster_26.1	cluster_19	0.9948512585812356	PASS
sample_0030	C	B2	clinical	2021-04-13	2021	15	2021W15	217	not_real_data_test_only	C28-S285-S365-C	singleton_365	singleton_285	singleton_172	0.9954233409610984	PASS
sample_0031	A	A1	clinical	2021-05-04	2021	18	2021W18	1	not_real_data_test_only	C35-S34-S110-A	singleton_110	singleton_34	cluster_79	0.9959954233409613	PASS
sample_0032	B	B3	clinical	2021-03-23	2021	12	2021W12	1	not_real_data_test_only	C35-C29-C35-B	cluster_35	cluster_29	cluster_84	0.9959954233409613	PASS
sample_0033	C	B3	clinical	2021-11-03	2021	44	2021W44	1	not_real_data_test_only	C35-S199-S279-C	singleton_279	singleton_199	singleton_85	0.9954233409610984	PASS
sample_0034	A	A2	clinical	2021-02-15	2021	7	2021W07	217	not_real_data_test_only	C28-S277-S357-A	singleton_357	singleton_277	singleton_164	0.9965675057208238	PASS
sample_0035	B	B4	clinical	2021-05-02	2021	17	2021W17	6	not_real_data_test_only	C24-C90-S32-B	singleton_32	cluster_90	cluster_63	0.9971395881006864	PASS
sample_0036	C	B4	clinical	2021-01-02	2020	53	2020W53	217	not_real_data_test_only	C28-C38-C47-C	cluster_47	cluster_38	cluster_27	0.9954233409610984	PASS
sample_0037	A	A3	clinical	2021-01-29	2021	4	2021W04	87	not_real_data_test_only	C14-C106-C79-A	cluster_79	cluster_106	cluster_100	0.9959954233409613	PASS
sample_0038	B	B5	clinical	2021-01-13	2021	2	2021W02	1	not_real_data_test_only	C35-S28-S104-B	singleton_104	singleton_28	cluster_105	0.9948512585812356	PASS
sample_0039	C	B5	clinical	2020-12-14	2020	51	2020W51	217	not_real_data_test_only	C28-S113-S193-C	singleton_193	singleton_113	singleton_5	0.9954233409610984	PASS
sample_0040	A	A4	clinical	2020-11-20	2020	47	2020W47	392	not_real_data_test_only	S7-S354-S434-A	singleton_434	singleton_354	singleton_241	0.9965675057208238	PASS
sample_0041	B	B6	clinical	2020-11-16	2020	47	2020W47	1	not_real_data_test_only	C35-S309-S389-B	singleton_389	singleton_309	singleton_196	0.9959954233409613	PASS
sample_0042	C	B6	clinical	2020-10-18	2020	42	2020W42	18	not_real_data_test_only	S9-S356-S436-C	singleton_436	singleton_356	singleton_243	0.9977116704805492	PASS
sample_0043	A	A5	clinical	2020-07-10	2020	28	2020W28	1	not_real_data_test_only	C35-S294-S374-A	singleton_374	singleton_294	singleton_181	0.9959954233409613	PASS
sample_0044	B	B7	clinical	2020-09-17	2020	38	2020W38	87	not_real_data_test_only	C14-C59-S11-B	singleton_11	cluster_59	cluster_43	0.9942791762013728	PASS
sample_0045	C	B7	clinical	2020-12-09	2020	50	2020W50	16	not_real_data_test_only	C19-S181-S261-C	singleton_261	singleton_181	singleton_67	0.9954233409610984	PASS
sample_0046	A	A6	clinical	2020-07-09	2020	28	2020W28	14	not_real_data_test_only	C1-C11-C15-A	cluster_15	cluster_11	cluster_7	0.998283752860412	PASS
sample_0047	B		clinical	2020-07-09	2020	28	2020W28	1	not_real_data_test_only	C35-S266-S346-B	singleton_346	singleton_266	singleton_153	0.9925629290617848	PASS
sample_0048	C		clinical	2020-05-09	2020	19	2020W19	14	not_real_data_test_only	C1-C11-C15-C	cluster_15	cluster_11	cluster_7	0.9977116704805492	PASS
sample_0049	A	A7	clinical	2020-03-09	2020	11	2020W11	37	not_real_data_test_only	C3-C20-C24-A	cluster_24	cluster_20	cluster_14	0.9954233409610984	PASS
sample_0050	B	B1	clinical	2020-03-09	2020	11	2020W11	2	not_real_data_test_only	C30-S247-S327-B	singleton_327	singleton_247	singleton_133	0.9948512585812356	PASS
sample_0051	C	B1	clinical	2020-08-22	2020	34	2020W34	77	not_real_data_test_only	C15-S171-S251-C	singleton_251	singleton_171	singleton_58	0.9948512585812356	PASS
sample_0052	A	A8	clinical	2020-08-19	2020	34	2020W34	37	not_real_data_test_only	C3-C20-C24-A	cluster_24	cluster_20	cluster_14	0.9959954233409613	PASS
sample_0053	B	B2	clinical	2020-08-17	2020	34	2020W34	1	not_real_data_test_only	C35-C91-S69-B	singleton_69	cluster_91	cluster_105	0.9919908466819222	PASS
