sequence	MST-78x1.0
ECDC_AT13_479	G008
ECDC_AT13_480	G008
ECDC_AT13_481	G008
ECDC_AT13_482	G003
ECDC_AT13_483	G029
ECDC_AT13_484	G022
ECDC_AT13_485	G050
ECDC_AT13_486	G004
ECDC_AT13_487	G055
ECDC_AT13_488	G056
ECDC_AT13_489	G008
ECDC_AT13_490	G005
ECDC_AT13_491	G009
ECDC_AT13_493	G002
ECDC_AT13_494	G009
ECDC_AT13_495	G015
ECDC_AT13_496	G008
ECDC_AT13_497	G029
ECDC_AT13_498	G029
ECDC_AT13_499	G005
ECDC_AT13_500	G002
ECDC_AT13_501	G021
ECDC_AT13_502	G005
ECDC_AT13_503	G009
ECDC_AT13_504	G002
ECDC_AT13_505	G009
ECDC_AT13_506	G002
ECDC_AT13_507	G005
ECDC_AT13_508	G029
ECDC_AT13_509	G088
ECDC_AT13_510	G008
ECDC_AT13_511	G002
ECDC_AT13_512	G008
ECDC_AT13_513	G002
ECDC_AT13_514	G002
ECDC_AT13_515	G021
ECDC_AT13_516	G088
ECDC_AT13_517	G004
ECDC_AT13_518	G015
ECDC_AT13_519	G009
ECDC_AT13_520	G001
ECDC_AT13_521	G008
ECDC_AT13_522	G029
ECDC_AT13_523	G008
ECDC_AT13_524	G024
ECDC_AT13_525	G008
ECDC_AT13_526	G005
ECDC_AT13_527	G008
ECDC_AT13_528	G008
ECDC_AT13_529	G029
ECDC_AT13_530	G029
ECDC_AT13_531	G002
ECDC_AT13_532	G008
ECDC_AT13_533	G022
ECDC_AT13_534	G022
ECDC_BE13_444	G002
ECDC_BE13_445	G002
ECDC_BE13_446	G014
ECDC_BE13_447	G004
ECDC_BE13_448	G085
ECDC_BE13_449	G005
ECDC_BE13_450	G014
ECDC_BE13_451	G015
ECDC_BE13_452	G002
ECDC_BE13_453	G006
ECDC_BE13_454	G015
ECDC_BE13_455	G015
ECDC_BE13_456	G008
ECDC_BE13_457	G139
ECDC_BE13_458	G035
ECDC_BE13_459	G002
ECDC_BE13_460	G001
ECDC_BE13_461	G001
ECDC_BE13_462	G001
ECDC_BE13_463	G010
ECDC_BE13_465	G009
ECDC_BE13_466	G001
ECDC_BE13_467	G085
ECDC_BE13_468	G002
ECDC_BE13_469	G017
ECDC_BE13_470	G014
ECDC_BE13_471	G014
ECDC_BE13_472	G010
ECDC_BE13_473	G001
ECDC_BE13_474	G015
ECDC_BE13_475	G015
ECDC_BE13_476	G121
ECDC_BE13_477	G002
ECDC_BE13_478	G002
ECDC_BE13_479	G001
ECDC_BE13_480	G015
ECDC_BE13_481	G015
ECDC_BE13_482	G004
ECDC_BE13_483	G004
ECDC_BE13_484	G002
ECDC_BE13_485	G002
ECDC_BE13_486	G014
ECDC_BE13_487	G037
ECDC_BE13_488	G008
ECDC_BE13_489	G001
ECDC_BE13_490	G085
ECDC_BE13_491	G001
ECDC_BE13_492	G001
ECDC_BE13_493	G004
ECDC_BE13_494	G015
ECDC_BE13_495	G001
ECDC_BE13_496	G010
ECDC_BE13_497	G039
ECDC_BE13_498	G002
ECDC_BE13_499	G009
ECDC_CY13_002	G002
ECDC_CY13_003	G002
ECDC_CY13_004	G002
ECDC_CY13_005	G055
ECDC_CY13_006	G104
ECDC_CY13_007	G002
ECDC_CY13_009	G002
ECDC_CY13_010	G002
ECDC_DK13_454	G041
ECDC_DK13_455	G041
ECDC_DK13_456	G004
ECDC_DK13_457	G002
ECDC_DK13_458	G008
ECDC_DK13_459	G157
ECDC_DK13_460	G014
ECDC_DK13_461	G017
ECDC_DK13_462	G001
ECDC_DK13_463	G001
ECDC_DK13_464	G008
ECDC_DK13_465	G004
ECDC_DK13_466	G002
ECDC_DK13_467	G004
ECDC_DK13_468	G157
ECDC_DK13_469	G012
ECDC_DK13_470	G002
ECDC_DK13_471	G041
ECDC_DK13_472	G102
ECDC_DK13_473	G042
ECDC_DK13_475	G041
ECDC_DK13_476	G002
ECDC_DK13_477	G008
ECDC_DK13_478	G002
ECDC_DK13_479	G002
ECDC_DK13_480	G003
ECDC_DK13_482	G002
ECDC_DK13_483	G001
ECDC_DK13_484	G005
ECDC_DK13_485	G001
ECDC_DK13_486	G008
ECDC_DK13_487	G001
ECDC_DK13_488	G041
ECDC_DK13_489	G001
ECDC_DK13_490	G012
ECDC_DK13_491	G008
ECDC_DK13_492	G004
ECDC_DK13_493	G041
ECDC_DK13_494	G002
ECDC_DK13_495	G002
ECDC_DK13_496	G008
ECDC_DK13_497	G041
ECDC_DK13_498	G002
ECDC_DK13_499	G005
ECDC_DK13_500	G041
ECDC_DK13_501	G041
ECDC_DK13_502	G002
ECDC_DK13_503	G041
ECDC_DK13_504	G001
ECDC_DK13_505	G016
ECDC_DK13_506	G001
ECDC_DK13_507	G041
ECDC_DK13_508	G002
ECDC_DK13_509	G115
ECDC_DK13_510	G176
ECDC_FR13_056	G014
ECDC_FR13_057	G001
ECDC_FR13_059	G004
ECDC_FR13_060	G004
ECDC_FR13_062	G027
ECDC_FR13_063	G027
ECDC_FR13_064	G027
ECDC_FR13_065	G004
ECDC_FR13_066	G035
ECDC_FR13_067	G140
ECDC_FR13_068	G154
ECDC_FR13_069	G002
ECDC_FR13_070	G016
ECDC_FR13_071	G005
ECDC_FR13_072	G004
ECDC_FR13_073	G002
ECDC_FR13_074	G006
ECDC_FR13_075	G016
ECDC_FR13_076	G004
ECDC_FR13_077	G005
ECDC_FR13_078	G035
ECDC_FR13_079	G003
ECDC_FR13_080	G017
ECDC_FR13_081	G016
ECDC_FR13_082	G003
ECDC_FR13_083	G032
ECDC_FR13_084	G002
ECDC_FR13_085	G136
ECDC_FR13_086	G011
ECDC_FR13_087	G014
ECDC_FR13_088	G016
ECDC_FR13_089	G001
ECDC_FR13_090	G016
ECDC_FR13_091	G037
ECDC_FR13_092	G009
ECDC_FR13_093	G021
ECDC_FR13_094	G001
ECDC_FR13_095	G020
ECDC_FR13_096	G011
ECDC_FR13_097	G016
ECDC_FR13_098	G013
ECDC_FR13_099	G019
ECDC_FR13_100	G016
ECDC_FR13_101	G014
ECDC_FR13_102	G002
ECDC_FR13_103	G009
ECDC_FR13_104	G019
ECDC_FR13_105	G001
ECDC_FR13_106	G042
ECDC_FR13_107	G005
ECDC_FR13_108	G042
ECDC_FR13_109	G002
ECDC_FR13_110	G008
ECDC_FR13_111	G004
ECDC_FR13_112	G001
ECDC_FR13_113	G009
ECDC_GE13_056	G125
ECDC_GE13_057	G002
ECDC_GE13_058	G002
ECDC_GE13_059	G002
ECDC_GE13_062	G002
ECDC_GE13_063	G015
ECDC_GE13_064	G002
ECDC_GE13_065	G001
ECDC_GE13_066	G002
ECDC_GE13_067	G002
ECDC_GE13_068	G126
ECDC_GE13_071	G001
ECDC_GE13_072	G001
ECDC_GE13_073	G002
ECDC_GE13_074	G002
ECDC_GE13_075	G002
ECDC_GE13_076	G004
ECDC_GE13_077	G002
ECDC_GE13_078	G008
ECDC_GE13_079	G009
ECDC_GE13_080	G009
ECDC_GE13_081	G001
ECDC_GE13_082	G013
ECDC_GE13_083	G013
ECDC_GE13_084	G001
ECDC_GE13_085	G002
ECDC_GE13_086	G001
ECDC_GE13_087	G001
ECDC_GE13_088	G014
ECDC_GE13_089	G001
ECDC_GE13_090	G015
ECDC_GE13_092	G009
ECDC_GE13_093	G003
ECDC_GE13_094	G055
ECDC_GE13_095	G003
ECDC_GE13_096	G009
ECDC_GE13_098	G035
ECDC_GE13_099	G022
ECDC_GE13_100	G001
ECDC_GE13_102	G015
ECDC_GE13_104	G001
ECDC_GE13_105	G008
ECDC_GE13_106	G001
ECDC_GE13_107	G021
ECDC_GE13_108	G021
ECDC_GE13_109	G001
ECDC_GE13_111	G021
ECDC_GR13026	G046
ECDC_GR13027	G002
ECDC_GR13028	G002
ECDC_GR13029	G005
ECDC_GR13030	G005
ECDC_GR13031	G005
ECDC_GR13032	G002
ECDC_GR13033	G002
ECDC_GR13034	G046
ECDC_GR13035	G002
ECDC_GR13036	G002
ECDC_GR13037	G004
ECDC_GR13038	G023
ECDC_GR13039	G046
ECDC_GR13040	G005
ECDC_GR13041	G002
ECDC_GR13043	G002
ECDC_GR13044	G002
ECDC_GR13045	G002
ECDC_GR13046	G002
ECDC_GR13047	G023
ECDC_GR13048	G002
ECDC_GR13049	G005
ECDC_GR13050	G005
ECDC_GR13051	G002
ECDC_GR13052	G046
ECDC_GR13053	G002
ECDC_GR13054	G008
ECDC_GR13055	G005
ECDC_GR13056	G175
ECDC_GR13057	G006
ECDC_GR13058	G001
ECDC_GR13059	G023
ECDC_GR13060	G012
ECDC_GR13061	G005
ECDC_GR13062	G010
ECDC_GR13064	G006
ECDC_GR13065	G012
ECDC_GR13066	G046
