col2	col1	AdjRand	Simpson_col2	Simpson_col1	Wallace	AdjWallace	AdjWallaceIClow	AdjWallaceIChigh	col2_cluster	col1_cluster
MST-1x1.0	MST-0x1.0	0.0	0.9995385136455682	1.0	0.0	0.0	-0.019815475247410536	0.019815475247410536	1908	2422
MST-2x1.0	MST-1x1.0	0.5047918456783594	0.9986343005446084	0.9995385136455682	1.0	0.33760640230548894	0.2962764358802168	0.3789363687307611	1605	1908
MST-3x1.0	MST-2x1.0	0.641155342372696	0.9971099971314854	0.9986343005446084	1.0	0.4718385863857503	0.42843617529345474	0.5152409974780459	1387	1605
MST-4x1.0	MST-3x1.0	0.7650830745896995	0.9953435242345142	0.9971099971314854	1.0	0.6195421399180362	0.579444923311596	0.6596393565244764	1240	1387
MST-5x1.0	MST-4x1.0	0.8276085194651126	0.993416400877131	0.9953435242345142	1.0	0.7059148187323296	0.6663279120401021	0.7455017254245572	1119	1240
MST-6x1.0	MST-5x1.0	0.8565015213350422	0.9912297127631163	0.993416400877131	1.0	0.7490185053285016	0.7118021308412718	0.7862348798157314	1018	1119
MST-7x1.0	MST-6x1.0	0.8744408988620757	0.9887394600848411	0.9912297127631163	1.0	0.7768946988017141	0.7421035423192934	0.8116858552841348	943	1018
MST-8x1.0	MST-7x1.0	0.9303533381219162	0.9870753123218903	0.9887394600848411	1.0	0.8697763207977515	0.8384962505122798	0.9010563910832231	875	943
MST-9x1.0	MST-8x1.0	0.9638744191582218	0.9861199366539204	0.9870753123218903	1.0	0.9302679491564549	0.9073697106965766	0.9531661876163333	823	875
MST-10x1.0	MST-9x1.0	0.9074640793546989	0.983336351924787	0.9861199366539204	1.0	0.8306034265845553	0.8061668093542612	0.8550400438148494	777	823
MST-11x1.0	MST-10x1.0	0.9652198573758931	0.9821568842133124	0.983336351924787	1.0	0.9327777153977701	0.9090532854166116	0.9565021453789286	743	777
MST-12x1.0	MST-11x1.0	0.9643752760471914	0.9808638356030753	0.9821568842133124	1.0	0.9312014803647505	0.9108055904156873	0.9515973703138136	712	743
MST-13x1.0	MST-12x1.0	0.9481020276264926	0.9788132399173076	0.9808638356030753	1.0	0.9013250833511837	0.8767439930260715	0.9259061736762958	669	712
MST-14x1.0	MST-13x1.0	0.9521573432792949	0.9767336521102342	0.9788132399173076	1.0	0.9086835100406544	0.8833235499626284	0.9340434701186804	632	669
MST-15x1.0	MST-14x1.0	0.9226352431505578	0.9729373896380794	0.9767336521102342	1.0	0.8563814968745007	0.8291832281095752	0.8835797656394262	605	632
