partition	old_cluster	old_cluster_length	nomenclature_change	cluster_2023-03-28	cluster_2023-03-28_length	n_increase	samples_increase
MST-78x1.0	G001	817	kept (none)	G001	817	 0	
MST-78x1.0	G002	574	kept (none)	G002	574	 0	
MST-78x1.0	G003	202	kept (none)	G003	202	 0	
MST-78x1.0	G004	211	kept (none)	G004	211	 0	
MST-78x1.0	G005	274	kept (none)	G005	274	 0	
MST-78x1.0	G006	150	kept (none)	G006	150	 0	
MST-78x1.0	G007	143	kept (none)	G007	143	 0	
MST-78x1.0	G008	90	new (split)	G008.1	85	 0	
MST-78x1.0	G008	90	new (split)	G008.2	5	 0	
MST-78x1.0	G009	119	kept (none)	G009	119	 0	
MST-78x1.0	G010	134	kept (none)	G010	134	 0	
MST-78x1.0	G011	80	kept (none)	G011	80	 0	
MST-78x1.0	G012	129	kept (none)	G012	129	 0	
MST-78x1.0	G013	54	kept (none)	G013	54	 0	
MST-78x1.0	G014	61	kept (none)	G014	61	 0	
MST-78x1.0	G015	34	kept (none)	G015	34	 0	
MST-78x1.0	G016	32	kept (none)	G016	32	 0	
MST-78x1.0	G017	29	kept (none)	G017	29	 0	
MST-78x1.0	G018	42	kept (none)	G018	42	 0	
MST-78x1.0	G019	37	kept (none)	G019	37	 0	
MST-78x1.0	G020	21	kept (none)	G020	21	 0	
MST-78x1.0	G021	19	kept (none)	G021	19	 0	
MST-78x1.0	G022	19	kept (none)	G022	19	 0	
MST-78x1.0	G023	14	kept (none)	G023	14	 0	
MST-78x1.0	G024	13	kept (none)	G024	13	 0	
MST-78x1.0	G025	56	kept (none)	G025	56	 0	
MST-78x1.0	G026	12	kept (none)	G026	12	 0	
MST-78x1.0	G027	15	kept (none)	G027	15	 0	
MST-78x1.0	G028	10	kept (none)	G028	10	 0	
MST-78x1.0	G029	14	kept (none)	G029	14	 0	
MST-78x1.0	G030	11	kept (none)	G030	11	 0	
MST-78x1.0	G031	12	kept (none)	G031	12	 0	
MST-78x1.0	G032	10	kept (none)	G032	10	 0	
MST-78x1.0	G033	9	kept (none)	G033	9	 0	
MST-78x1.0	G034	8	kept (none)	G034	8	 0	
MST-78x1.0	G035	7	kept (none)	G035	7	 0	
MST-78x1.0	G036	10	kept (none)	G036	10	 0	
MST-78x1.0	G037	7	kept (none)	G037	7	 0	
MST-78x1.0	G038	8	kept (none)	G038	8	 0	
MST-78x1.0	G039	15	kept (none)	G039	15	 0	
MST-78x1.0	G040	8	kept (none)	G040	8	 0	
MST-78x1.0	G041	11	kept (none)	G041	11	 0	
MST-78x1.0	G042	7	kept (none)	G042	7	 0	
MST-78x1.0	G043	7	kept (none)	G043	7	 0	
MST-78x1.0	G044	7	kept (none)	G044	7	 0	
MST-78x1.0	G045	5	kept (none)	G045	5	 0	
MST-78x1.0	G046	5	kept (none)	G046	5	 0	
MST-78x1.0	G047	5	kept (none)	G047	5	 0	
MST-78x1.0	G048	4	kept (none)	G048	4	 0	
MST-78x1.0	G049	4	kept (none)	G049	4	 0	
MST-78x1.0	G050	7	kept (none)	G050	7	 0	
MST-78x1.0	G051	4	kept (none)	G051	4	 0	
MST-78x1.0	G052	4	kept (none)	G052	4	 0	
MST-78x1.0	G053	5	kept (none)	G053	5	 0	
MST-78x1.0	G054	7	kept (none)	G054	7	 0	
MST-78x1.0	G055	3	kept (none)	G055	3	 0	
MST-78x1.0	G056	3	kept (none)	G056	3	 0	
