#Stability regions of the Adjusted Wallace coefficient for  output/NG_822_metrics.tsv 
#using a threshold of  0.99  and minimum number of required observations of  9
#block_id	first_partition	last_partition	len_block
block_8	MST-40x1.0->MST-39x1.0	MST-54x1.0->MST-53x1.0	15
block_14	MST-79x1.0->MST-78x1.0	MST-193x1.0->MST-192x1.0	115
block_17	MST-207x1.0->MST-206x1.0	MST-221x1.0->MST-220x1.0	15
block_19	MST-232x1.0->MST-231x1.0	MST-243x1.0->MST-242x1.0	12
block_20	MST-245x1.0->MST-244x1.0	MST-254x1.0->MST-253x1.0	10
block_21	MST-256x1.0->MST-255x1.0	MST-279x1.0->MST-278x1.0	24
block_23	MST-286x1.0->MST-285x1.0	MST-294x1.0->MST-293x1.0	9
block_26	MST-300x1.0->MST-299x1.0	MST-317x1.0->MST-316x1.0	18
block_29	MST-333x1.0->MST-332x1.0	MST-355x1.0->MST-354x1.0	23
block_31	MST-363x1.0->MST-362x1.0	MST-371x1.0->MST-370x1.0	9
block_34	MST-383x1.0->MST-382x1.0	MST-399x1.0->MST-398x1.0	17
block_35	MST-401x1.0->MST-400x1.0	MST-413x1.0->MST-412x1.0	13
block_36	MST-415x1.0->MST-414x1.0	MST-425x1.0->MST-424x1.0	11
block_41	MST-453x1.0->MST-452x1.0	MST-471x1.0->MST-470x1.0	19
