iso_week	AY.45	AY.94	AY.3	AY.15	AY.4.2.1	AY.121.1	AY.91	AY.120	AY.6	AY.106	AY.124.1	AY.133	AY.4.2.2	AY.4	AY.129	AY.4.4	AY.98.1	AY.39.2	AY.4.9	AY.4.2.3	AY.78	B.1.36.17	AY.102	AY.25.1	AY.122.2	AY.4.2	AY.99.2	AY.22	AY.121	AY.70	AY.32	AY.112	AY.33	AY.92	AY.34	AY.46.6	AY.117	AY.109	AY.127	AY.4.10	AY.43.1	AY.118	AY.122	AY.43.5	AY.34.1	AY.39	AY.100	AY.125	AY.124	AY.46	AY.23	AY.119	AY.98	AY.123	AY.42	BA.2	AY.25.3	AY.44	AY.126	AY.5	AY.25	AY.66	AY.43.4	AY.43	AY.36	BA.1.1	AY.123.1	AY.26	AY.111	AY.5.4	AY.119.1	BA.1	AY.4.7	AY.9.2	AY.128	AY.116	AY.122.4	AY.103	AY.4.5	AY.85	AY.88	AY.4.6	B.1.617.2
2021W44	0	4	0	0	0	1	4	6	0	0	25	0	0	82	0	0	3	1	1	0	0	1	3	0	0	12	1	7	5	0	0	0	4	0	2	4	11	0	1	0	1	0	20	32	6	0	0	13	54	0	0	0	0	1	10	0	0	1	2	47	0	1	0	57	0	0	0	9	0	3	0	0	0	0	0	0	0	19	0	2	1	0	2
2021W45	0	3	0	0	1	0	1	2	3	0	33	1	0	91	1	0	2	0	0	0	0	0	10	0	0	8	2	7	7	1	1	0	0	0	1	6	5	0	2	0	1	0	23	23	2	1	0	11	80	1	0	1	1	2	16	0	1	0	2	61	0	2	0	38	1	0	0	16	0	2	0	0	1	5	0	0	0	7	0	2	0	1	6
2021W46	0	4	0	0	2	1	1	3	8	0	44	2	0	49	0	1	13	0	0	1	0	0	29	0	0	16	3	7	13	1	0	2	5	0	1	1	1	1	7	0	0	0	38	24	4	3	0	8	85	2	1	1	0	0	12	0	0	0	1	77	0	0	0	55	15	0	0	26	0	3	0	0	0	1	0	0	1	17	1	0	0	0	16
2021W47	0	4	0	0	0	0	5	1	4	1	30	0	1	86	3	0	16	0	2	1	0	0	27	0	2	27	3	4	16	0	0	0	1	0	0	3	3	0	5	0	0	1	43	31	2	2	0	7	95	4	0	0	1	0	14	0	0	1	2	58	0	0	0	65	2	0	0	26	1	7	0	1	0	3	1	0	0	32	1	2	0	0	11
2021W48	0	1	1	1	2	0	1	1	3	1	34	0	1	45	2	0	8	0	2	0	1	0	10	1	0	19	0	2	8	0	0	0	1	0	3	5	0	2	3	0	0	1	31	19	1	0	0	8	64	10	0	0	0	0	24	0	0	4	6	57	0	0	0	58	1	0	0	19	0	1	0	8	0	2	0	0	0	18	0	0	0	0	15
2021W49	0	0	0	0	1	0	0	0	0	0	17	0	0	58	3	0	8	0	3	0	0	0	3	0	0	17	0	4	12	0	0	0	0	1	0	0	1	1	1	0	0	0	24	18	3	0	0	6	36	10	0	0	0	0	21	0	0	0	5	26	2	0	0	35	1	0	0	6	0	1	0	16	0	2	0	0	0	14	2	0	0	0	19
2021W50	2	2	1	0	2	0	0	1	2	1	10	0	3	75	1	0	7	0	4	0	0	0	0	4	0	15	0	6	8	0	0	1	3	0	0	0	1	0	4	3	0	1	24	13	4	0	1	2	44	3	1	0	0	0	22	0	0	0	6	33	2	0	0	44	2	7	0	4	0	0	1	87	0	3	0	3	0	16	0	0	0	0	25
2021W51	0	2	0	0	3	0	0	0	0	0	8	0	1	33	2	0	2	0	2	0	0	0	0	1	0	17	0	1	0	0	0	1	0	0	0	0	0	0	4	0	0	1	20	1	2	0	0	2	15	5	0	0	0	0	9	0	0	0	2	11	1	0	0	18	2	16	0	1	0	0	0	179	0	1	0	0	0	5	2	0	0	0	14
2021W52	0	1	0	0	0	0	0	0	0	0	5	0	0	15	0	0	0	0	2	1	0	0	0	0	0	8	0	0	2	0	0	0	0	0	0	1	0	0	4	0	0	1	6	2	0	0	0	1	6	1	0	0	1	0	5	1	0	0	1	3	0	0	0	10	0	41	1	0	0	0	0	326	0	1	0	0	0	3	0	0	0	0	5
2022W01	0	0	0	0	0	0	0	0	0	0	3	0	0	17	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	1	0	0	0	3	1	0	1	8	1	0	0	0	1	5	0	0	0	0	0	1	4	0	0	0	3	2	0	0	7	2	55	0	1	0	0	0	429	0	0	0	0	0	0	0	0	0	0	5
2022W02	0	0	0	0	0	0	0	0	0	0	1	0	0	8	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	2	3	0	72	0	0	0	0	0	422	0	0	0	0	0	1	0	0	0	0	3
2022W03	0	0	0	0	0	0	0	0	0	0	2	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	11	0	0	0	2	0	0	0	0	0	74	0	0	0	0	0	394	0	0	0	0	0	0	0	0	0	0	0
2022W04	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	1	0	118	0	0	0	0	0	357	0	0	0	0	0	0	0	0	0	0	3
2022W05	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	141	0	0	0	0	0	306	0	0	0	0	0	0	0	0	0	0	0
2022W06	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	194	0	0	0	0	0	0	0	0	0	0	0
