Health_region	iso_week	21J (Delta)	21K (Omicron)	21L (Omicron)
ACORES-RA	2022W02	7	48	0
ACORES-RA	2022W03	10	60	0
ACORES-RA	2022W04	5	47	0
ACORES-RA	2022W05	5	49	2
ACORES-RA	2022W06	1	24	1
ALENTEJO	2022W02	2	97	0
ALENTEJO	2022W03	1	72	0
ALENTEJO	2022W04	4	86	9
ALENTEJO	2022W05	0	103	6
ALENTEJO	2022W06	0	56	11
ALGARVE	2022W02	2	48	1
ALGARVE	2022W03	1	42	0
ALGARVE	2022W04	0	58	7
ALGARVE	2022W05	0	38	6
ALGARVE	2022W06	0	32	10
CENTRO	2022W02	2	74	1
CENTRO	2022W03	0	71	2
CENTRO	2022W04	1	83	5
CENTRO	2022W05	0	86	10
CENTRO	2022W06	0	44	12
LX V TEJO	2022W02	1	84	0
LX V TEJO	2022W03	0	75	5
LX V TEJO	2022W04	1	69	4
LX V TEJO	2022W05	0	64	15
LX V TEJO	2022W06	0	46	13
MADEIRA-RA	2022W02	1	35	0
MADEIRA-RA	2022W03	0	34	0
MADEIRA-RA	2022W04	0	36	0
MADEIRA-RA	2022W05	0	1	2
MADEIRA-RA	2022W06	0	24	6
NORTE	2022W02	6	108	0
NORTE	2022W03	2	114	4
NORTE	2022W04	0	96	4
NORTE	2022W05	0	106	8
NORTE	2022W06	0	66	8
