Health_region	iso_week	AY.103	AY.124	AY.124.1	AY.4	AY.4.2	AY.42	AY.43	AY.43.4	AY.43.5	AY.5	B.1.617.2	BA.1	BA.1.1	BA.2
ACORES-RA	2022W02	0.0	0.0	0.01818181818181818	0.10909090909090909	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6545454545454545	0.21818181818181817	0.0
ACORES-RA	2022W03	0.0	0.0	0.02857142857142857	0.11428571428571428	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7	0.15714285714285714	0.0
ACORES-RA	2022W04	0.0	0.0	0.019230769230769232	0.07692307692307693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.15384615384615385	0.0
ACORES-RA	2022W05	0.0	0.0	0.0	0.08928571428571429	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4642857142857143	0.4107142857142857	0.03571428571428571
ACORES-RA	2022W06	0.0	0.0	0.0	0.038461538461538464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4230769230769231	0.5	0.038461538461538464
ALENTEJO	2022W02	0.0	0.0	0.0	0.0	0.0	0.0	0.010101010101010102	0.0	0.0	0.0	0.010101010101010102	0.8080808080808081	0.1717171717171717	0.0
ALENTEJO	2022W03	0.0	0.0	0.0	0.0136986301369863	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9178082191780822	0.0684931506849315	0.0
ALENTEJO	2022W04	0.0	0.0	0.0	0.010101010101010102	0.0	0.0	0.010101010101010102	0.0	0.0	0.0	0.020202020202020204	0.6767676767676768	0.1919191919191919	0.09090909090909091
ALENTEJO	2022W05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6972477064220184	0.24770642201834864	0.05504587155963303
ALENTEJO	2022W06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6417910447761194	0.19402985074626866	0.16417910447761194
ALGARVE	2022W02	0.0	0.0	0.0	0.0	0.0	0.0	0.0196078431372549	0.0	0.0	0.0	0.0196078431372549	0.8627450980392157	0.0784313725490196	0.0196078431372549
ALGARVE	2022W03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023255813953488372	0.0	0.8604651162790697	0.11627906976744186	0.0
ALGARVE	2022W04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6461538461538462	0.24615384615384617	0.1076923076923077
ALGARVE	2022W05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5909090909090909	0.2727272727272727	0.13636363636363635
ALGARVE	2022W06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5238095238095238	0.23809523809523808	0.23809523809523808
CENTRO	2022W02	0.012987012987012988	0.0	0.0	0.012987012987012988	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7922077922077922	0.16883116883116883	0.012987012987012988
CENTRO	2022W03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8356164383561644	0.136986301369863	0.0273972602739726
CENTRO	2022W04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011235955056179775	0.0	0.0	0.6629213483146067	0.2696629213483146	0.056179775280898875
CENTRO	2022W05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5520833333333334	0.34375	0.10416666666666667
CENTRO	2022W06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5892857142857143	0.19642857142857142	0.21428571428571427
LX V TEJO	2022W02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011764705882352941	0.9294117647058824	0.058823529411764705	0.0
LX V TEJO	2022W03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8125	0.125	0.0625
LX V TEJO	2022W04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013513513513513514	0.7972972972972973	0.13513513513513514	0.05405405405405406
LX V TEJO	2022W05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6329113924050633	0.17721518987341772	0.189873417721519
LX V TEJO	2022W06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5254237288135594	0.2542372881355932	0.22033898305084745
MADEIRA-RA	2022W02	0.0	0.0	0.0	0.027777777777777776	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9166666666666666	0.05555555555555555	0.0
MADEIRA-RA	2022W03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8235294117647058	0.17647058823529413	0.0
MADEIRA-RA	2022W04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7777777777777778	0.2222222222222222	0.0
MADEIRA-RA	2022W05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.6666666666666666
MADEIRA-RA	2022W06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4666666666666667	0.3333333333333333	0.2
NORTE	2022W02	0.0	0.0	0.0	0.0	0.008771929824561403	0.017543859649122806	0.008771929824561403	0.017543859649122806	0.0	0.0	0.0	0.7807017543859649	0.16666666666666666	0.0
NORTE	2022W03	0.0	0.008333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008333333333333333	0.0	0.725	0.225	0.03333333333333333
NORTE	2022W04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.63	0.33	0.04
NORTE	2022W05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6578947368421053	0.2719298245614035	0.07017543859649122
NORTE	2022W06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5405405405405406	0.35135135135135137	0.10810810810810811
