strain	date	iso_year	iso_week_nr	iso_week	S1_mutations	clade_membership	country	country_exposure	division	division_exposure	emerging_lineage	lineage	mutational_fitness	recency	region	region_exposure	author	accession	Health_region	location	originating_lab	submitting_lab	logistic_growth	Representative_sampling
Portugal/PT28021/2022	2022-02-07	2022	6	2022W06	24.00	21L (Omicron)	Portugal	Portugal	Faro	Faro	20B	BA.2	0.77	New	Europe	Europe	INSA		ALGARVE	Albufeira	ABC Algarve	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	16.26	Weekly
Portugal/PT27391/2022	2022-02-01	2022	5	2022W05	24.00	21L (Omicron)	Portugal	Portugal	Braganca	Braganca	20B	BA.2	0.77	3-7 days ago	Europe	Europe	INSA		NORTE	Braganca	CH Porto - H Sto Antonio	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	16.26	Weekly
Portugal/PT26606/2022	2022-01-24	2022	4	2022W04	24.00	21L (Omicron)	Portugal	Portugal	Porto	Porto	20B	BA.2	0.78	One week ago	Europe	Europe	INSA		NORTE	Amarante	CHTMAD	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	16.26	Weekly
Portugal/PT27796/2022	2022-02-08	2022	6	2022W06	24.00	21L (Omicron)	Portugal	Portugal	Guarda	Guarda	20B	BA.2	0.77	New	Europe	Europe	INSA		CENTRO	Sabugal	CHEDV	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	16.26	Weekly
Portugal/PT26613/2022	2022-01-23	2022	3	2022W03	24.00	21L (Omicron)	Portugal	Portugal	Viseu	Viseu	20B	BA.2	0.77	One week ago	Europe	Europe	INSA		NORTE	Lamego	CHTMAD	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	16.26	Weekly
Portugal/PT27668/2022	2022-02-06	2022	5	2022W05	24.00	21L (Omicron)	Portugal	Portugal	Castelo Branco	Castelo Branco	20B	BA.2	0.76	New	Europe	Europe	INSA		CENTRO	Castelo Branco	ULS Castelo Branco	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	16.26	Weekly
Portugal/PT27676/2022	2022-02-08	2022	6	2022W06	24.00	21L (Omicron)	Portugal	Portugal	Castelo Branco	Castelo Branco	20B	BA.2	0.77	New	Europe	Europe	INSA		CENTRO	Proenca-a-Nova	ULS Castelo Branco	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	16.26	Weekly
Portugal/PT27149/2022	2022-01-31	2022	5	2022W05	24.00	21L (Omicron)	Portugal	Portugal	Castelo Branco	Castelo Branco	20B	BA.2	0.77	3-7 days ago	Europe	Europe	INSA		CENTRO	Castelo Branco	ULS Castelo Branco	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	16.26	Weekly
Portugal/PT27674/2022	2022-02-07	2022	6	2022W06	24.00	21L (Omicron)	Portugal	Portugal	Castelo Branco	Castelo Branco	20B	BA.2	0.77	New	Europe	Europe	INSA		CENTRO	Castelo Branco	ULS Castelo Branco	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	16.26	Weekly
Portugal/PT27153/2022	2022-02-01	2022	5	2022W05	24.00	21L (Omicron)	Portugal	Portugal	Castelo Branco	Castelo Branco	20B	BA.2	0.77	3-7 days ago	Europe	Europe	INSA		CENTRO	Castelo Branco	ULS Castelo Branco	Instituto Nacional de Saude Doutor Ricardo Jorge, I.P. (INSA)	16.26	Weekly
