sequence	root_dist-25x1.0	root_dist-26x1.0	root_dist-27x1.0	root_dist-28x1.0	root_dist-29x1.0	root_dist-30x1.0	root_dist-31x1.0	root_dist-32x1.0	root_dist-33x1.0	root_dist-34x1.0	root_dist-35x1.0	root_dist-36x1.0	root_dist-37x1.0	root_dist-38x1.0	root_dist-39x1.0	root_dist-40x1.0	root_dist-41x1.0	root_dist-42x1.0	root_dist-43x1.0	root_dist-44x1.0	root_dist-45x1.0	root_dist-46x1.0	root_dist-47x1.0	root_dist-48x1.0	root_dist-49x1.0	root_dist-50x1.0	root_dist-51x1.0	root_dist-52x1.0	root_dist-53x1.0	root_dist-54x1.0	root_dist-55x1.0	root_dist-56x1.0	root_dist-57x1.0	root_dist-58x1.0	root_dist-59x1.0	root_dist-60x1.0	root_dist-61x1.0	root_dist-62x1.0	root_dist-63x1.0	root_dist-64x1.0	root_dist-65x1.0	root_dist-66x1.0	root_dist-67x1.0	root_dist-68x1.0	root_dist-69x1.0	avg_clade-1x1.0	max_clade-2x1.0
Portugal/PT20830/2021	1	singleton	singleton	singleton	singleton	singleton	singleton	singleton	singleton	38	99	176	201	225	241	244	268	296	310	263	214	180	141	116	105	73	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	singleton	singleton
Portugal/PT23709/2021	1	1	1	singleton	singleton	singleton	10	11	19	38	99	176	201	225	241	244	268	296	310	263	214	180	141	116	105	73	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	singleton	singleton
Portugal/PT22074/2021	1	1	1	1	1	1	1	1	9	28	90	166	191	218	singleton	singleton	singleton	296	310	263	214	180	141	116	105	73	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	singleton	singleton
Portugal/PT20499/2021	1	1	1	1	1	1	1	1	1	singleton	singleton	singleton	singleton	singleton	singleton	singleton	singleton	singleton	310	263	214	180	141	116	105	73	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	singleton	singleton
Portugal/PT21492/2021	1	1	1	1	1	1	1	1	9	28	90	166	191	218	232	234	255	281	295	253	207	175	136	111	singleton	73	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	11	singleton
Portugal/PT21973/2021	1	1	1	1	1	1	1	1	9	28	90	166	191	218	234	236	257	283	297	255	209	177	138	116	105	73	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	15	23
Portugal/PT20349/2021	1	1	1	1	1	1	1	1	9	28	90	166	191	218	233	singleton	singleton	singleton	singleton	singleton	singleton	singleton	singleton	singleton	singleton	singleton	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	16	singleton
Portugal/PT22252/2021	1	1	1	1	1	1	1	1	9	28	90	166	191	218	232	234	255	281	295	253	207	175	136	111	singleton	73	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	11	singleton
Portugal/PT25193/2021	1	1	1	1	1	1	1	1	9	28	90	166	191	218	232	234	255	281	295	253	207	175	136	111	singleton	singleton	74	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	11	singleton
Portugal/PT23138/2021	1	1	1	1	1	1	1	1	8	27	89	165	190	singleton	singleton	singleton	singleton	singleton	singleton	singleton	singleton	singleton	singleton	singleton	singleton	singleton	singleton	55	99	120	170	259	158	67	22	8	5	3	4	16	11	6	4	2	1	singleton	singleton
