country	iso_week	XBB.1.16.1
China	2023W05	0
China	2023W07	0
China	2023W09	0
China	2023W10	0
China	2023W11	0
China	2023W12	0
China	2023W13	14
China	2023W14	4
China	2023W15	2
England	2023W05	0
England	2023W07	0
England	2023W09	2
England	2023W10	2
England	2023W11	21
England	2023W12	8
England	2023W13	1
England	2023W14	8
England	2023W15	2
India	2023W05	1
India	2023W07	1
India	2023W09	8
India	2023W10	23
India	2023W11	5
India	2023W12	0
India	2023W13	0
India	2023W14	0
India	2023W15	0
Scotland	2023W05	0
Scotland	2023W07	0
Scotland	2023W09	4
Scotland	2023W10	0
Scotland	2023W11	0
Scotland	2023W12	0
Scotland	2023W13	3
Scotland	2023W14	0
Scotland	2023W15	0
Switzerland	2023W05	0
Switzerland	2023W07	0
Switzerland	2023W09	0
Switzerland	2023W10	0
Switzerland	2023W11	0
Switzerland	2023W12	1
Switzerland	2023W13	0
Switzerland	2023W14	0
Switzerland	2023W15	0
USA	2023W05	0
USA	2023W07	0
USA	2023W09	4
USA	2023W10	6
USA	2023W11	8
USA	2023W12	15
USA	2023W13	20
USA	2023W14	8
USA	2023W15	0
Wales	2023W05	0
Wales	2023W07	0
Wales	2023W09	3
Wales	2023W10	0
Wales	2023W11	0
Wales	2023W12	1
Wales	2023W13	3
Wales	2023W14	1
Wales	2023W15	0
