strain	date	iso_year	iso_week_nr	country	length	Nextstrain_clade	pangolin_lineage	Nextstrain_clade_usher	pango_lineage_usher	max_clade-1x1.0	max_clade-2x1.0	max_clade-3x1.0	avg_clade-1x1.0	avg_clade-2x1.0	avg_clade-3x1.0
CHN/HG20230331-145/2023|C_AA008528.1|2023-03-30	30/03/2023	2023	13	China	29772	23A	BA.2	22F (Omicron)	XBB.1.16.1	singleton_4446018	singleton_3953140	singleton_3568666	cluster_517229	cluster_336461	cluster_227886
CHN/SH-HG20230404-167/2023|C_AA009133.1|2023-04-03	03/04/2023	2023	14	China	29772	23A	BA.2	22F (Omicron)	XBB.1.16.1	singleton_4445999	singleton_3953121	singleton_3568647	cluster_517050	cluster_336348	cluster_227792
CHN/SH-HG20230410-190/2023|C_AA010850.1|2023-04-07	07/04/2023	2023	14	China	29744	23B	BA.2	22F (Omicron)	XBB.1.16.1	singleton_4133801	singleton_3682533	singleton_3330669	singleton_449794	singleton_243901	cluster_228609
CHN/SH-HG20230411-201/2023|C_AA010860.1|2023-04-10	10/04/2023	2023	15	China	29770	23B	BA.2	22F (Omicron)	XBB.1.16.1	singleton_4446002	singleton_3953124	singleton_3568650	cluster_517111	cluster_336381	cluster_227817
CHN/SH-HG20230412-207/2023|C_AA010866.1|2023-04-11	11/04/2023	2023	15	China	29772	23B	BA.2	22F (Omicron)	XBB.1.16.1	singleton_4133804	singleton_3682536	singleton_3330672	singleton_449955	cluster_337886	cluster_228609
CHN/SH-PD202304070004/2023|C_AA010881.1|2023-04-05	05/04/2023	2023	14	China	29782	23B	BA.2	22F (Omicron)	XBB.1.16.1	cluster_441265	cluster_535412	cluster_583402	cluster_518598	cluster_337435	cluster_228545
CHN/SH-PD202304070006/2023|C_AA010882.1|2023-04-05	05/04/2023	2023	14	China	29782	23B	BA.2	22F (Omicron)	XBB.1.16.1	cluster_441265	cluster_535412	cluster_583402	cluster_518598	cluster_337435	cluster_228545
CHN/SH-XG2304-2050/2023|C_AA010908.1|2023-03-30	30/03/2023	2023	13	China	29772	23B	BA.2	22F (Omicron)	XBB.1.16.1	singleton_4446033	singleton_3953155	singleton_3568678	cluster_518149	cluster_337010	cluster_228198
CHN/ZJCDC708/2023|C_AA008790.1|2023-04-02	02/04/2023	2023	13	China	29697	23A	BA.2	22F (Omicron)	XBB.1.16.1	cluster_475031	cluster_575836	cluster_583404	cluster_519494	cluster_337886	cluster_228609
CHN/ZJCDC709/2023|C_AA008791.1|2023-04-02	02/04/2023	2023	13	China	29700	23A	BA.2	22F (Omicron)	XBB.1.16.1	cluster_475031	cluster_575836	cluster_583404	cluster_519494	cluster_337886	cluster_228609
CHN/ZJCDC710/2023|C_AA008792.1|2023-04-02	02/04/2023	2023	13	China	29689	23A	BA.2	22F (Omicron)	XBB.1.16.1	cluster_475031	cluster_575836	cluster_583404	cluster_519494	cluster_337886	cluster_228609
CHN/ZJCDC711/2023|C_AA008793.1|2023-04-02	02/04/2023	2023	13	China	29699	23A	BA.2	22F (Omicron)	XBB.1.16.1	cluster_501887	cluster_575835	cluster_583404	cluster_519494	cluster_337886	cluster_228609
CHN/ZJCDC712/2023|C_AA008794.1|2023-04-02	02/04/2023	2023	13	China	29689	23A	BA.2	22F (Omicron)	XBB.1.16.1	cluster_475031	cluster_575836	cluster_583404	cluster_519494	cluster_337886	cluster_228609
CHN/ZJCDC718/2023|C_AA008800.1|2023-03-31	31/03/2023	2023	13	China	29697	23A	BA.2	22F (Omicron)	XBB.1.16.1	cluster_501888	cluster_575835	cluster_583404	cluster_519494	cluster_337886	cluster_228609
CHN/ZJCDC750/2023|C_AA009614.1|2023-04-02	02/04/2023	2023	13	China	29697	23B	BA.2	22F (Omicron)	XBB.1.16.1	cluster_475031	cluster_575836	cluster_583404	cluster_519494	cluster_337886	cluster_228609
CHN/ZJCDC751/2023|C_AA009615.1|2023-04-02	02/04/2023	2023	13	China	29700	23B	BA.2	22F (Omicron)	XBB.1.16.1	cluster_475031	cluster_575836	cluster_583404	cluster_519494	cluster_337886	cluster_228609
