partition	cluster	cluster_length	samples
avg_clade-2x1.0	cluster_344409	2	USA/CA-CDC-QDX47870209/2023|OQ704771.1|2023-03-08,USA/CA-CDC-QDX47771896/2023|OQ684852.1|2023-03-10
avg_clade-2x1.0	cluster_400590	2	Switzerland/GE-HUG-40888504/2023|OX459848.1|2023-03-13,Switzerland/BE-IFIK-230313_os_24/2023|OX453231.1|2023-03-03
avg_clade-2x1.0	cluster_393115	1	USA/CA-CDC-QDX48365795/2023|OQ783002.1|2023-03-23
avg_clade-2x1.0	cluster_301340	1	BHR/961109548/2023|OQ781582.1|2023-03-14
avg_clade-2x1.0	cluster_398930	8	USA/AL-CDC-QDX48415050/2023|OQ783859.1|2023-03-27,USA/NV-CDC-QDX48637249/2023|OQ827396.1|2023-04-01,USA/TN-CDC-VSX-A065043/2023|OQ681432.1|2023-03-15,USA/TN-CDC-QDX47696326/2023|OQ684009.1|2023-03-06,USA/TN-CDC-VSX-A064099/2023|OQ609547.1|2023-03-02,USA/NY-CDC-QDX48587170/2023|OQ827398.1|2023-04-01,USA/OH-CDC-QDX48496938/2023|OQ825714.1|2023-03-29,USA/TN-CDC-VSX-A064865/2023|OQ681397.1|2023-03-13
avg_clade-2x1.0	cluster_305902	13	Scotland/SCOT-28955/2023|2023-03-15,Scotland/SCOT-28955/2023|OX463335.1|2023-03-15,Scotland/SCOT-28953/2023|2023-03-15,Scotland/SCOT-28953/2023|OX463455.1|2023-03-15,Scotland/SCOT-28323/2023|OX463132.1|2023-03-17,Scotland/SCOT-27618/2023|OX460726.1|2023-03-08,England/PHEC-YYEXO7X/2023|2023-03-16,England/PHEC-YYEOAXB/2023|2023-03-27,England/PHEC-YYEXKIF/2023|2023-03-19,England/PHEC-YYE1K1R/2023|2023-04-01,England/PHEC-YYETQHQ/2023|2023-03-27,England/PHEC-YYEOBRQ/2023|2023-03-21,England/PHEC-YYEOAD3/2023|2023-03-26
avg_clade-2x1.0	cluster_366694	1	USA/NV-CDC-LC1033784/2023|OQ748382.1|2023-03-23
avg_clade-2x1.0	cluster_397727	3	USA/SC-COVID23-0196/2023|OQ714809.1|2023-03-13,USA/VA-CAV_VAS3N_00018488_01/2023|OQ843637.1|2023-03-04,USA/VA-VTVAS3-GSC42516/2023|OQ714674.1|2023-03-03
avg_clade-2x1.0	singleton_254089	1	USA/SC-CDC-QDX48143996/2023|OQ728293.1|2023-03-19
avg_clade-2x1.0	cluster_335272	1	USA/OR-CDC-LC1032911/2023|OQ733748.1|2023-03-18
avg_clade-2x1.0	cluster_401755	1	USA/NC-CDC-LC1032207/2023|OQ734054.1|2023-03-22
